kategori,varian,nama,harga,aliases,satuan,isi,brand
"galon,19l,Galon Amidis 19L,22000,""amidis galon 19l|galon amidis 19l|amidis 19lt|amidis 19liter|amdis 19l|amd galon 19l|amidis 19 l|amidis galon besar 19l|amidis galon|galon amidis"",galon,,amidis"
"galon,19l,Galon Vit 19L,18000,""vit galon 19l|galon vit 19l|vit 19lt|vit 19liter|vit 19 l|vt galon 19l|vitt 19l|vit galon besar 19l|vit galon|galon vit"",galon,,vit"
"galon,19l,Galon Aqua 19L,22000,""aqua galon 19l|galon aqua 19l|aqua 19lt|aqua 19liter|aq galon 19l|akua galon 19l|aqua 19 l|aqua galon besar 19l|aq 19l|aqua refill 19l|aqua galon|galon aqua"",galon,,aqua"
"galon,19l,Galon Cleo 19L,23000,""cleo galon 19l|galon cleo 19l|cleo 19lt|cleo 19liter|clo galon 19l|cleo 19 l|cleo galon besar 19l|cleo galon|galon cleo"",galon,,cleo"
"galon,15l,Galon Le Minerale 15L,21000,""le minerale galon 15l|galon le minerale 15l|lem galon 15l|lemi galon 15l|le minerale 15 lt|le minerale 15liter|lem 15l|le minerale galon|galon le minerale|lemineral galon|lemi galon|lem galon"",galon,,le minerale"
"galon,19l,Galon Oasis 19L,18000,""oasis galon 19l|galon oasis 19l|osis 19l|oasis 19lt|oasis 19liter|oasis 19 l|oasis galon besar 19l|oasis galon|galon oasis"",galon,,oasis"
"galon,19l,Galon Pristine 19L,22000,""pristine galon 19l|galon pristine 19l|prstn 19l|prstin 19lt|pristine 19 liter|pristine 19 l|pristine galon besar 19l|pristine galon|galon pristine"",galon,,pristine"

"botol,1.5l,Aqua Botol 1.5L,64000,""aqua botol 1.5l|aqua botol 1500ml|botol aqua 1.5l|botol aqua 1500ml|aqua besar 1.5l|aq 1.5l|akua 1.5l|aqua 1.5 lt|aq 1500ml|aq botol 1.5"",dus,12 botol,aqua"
"botol,1.5l,Pristine Botol 1.5L,83000,""pristine botol 1.5l|pristine botol 1500ml|botol pristine 1.5l|botol pristine 1500ml|prstn 1.5l|pristine besar 1.5l|pristine 1.5 lt|pristine 1500ml|pristin 1.5l|pristin 1500ml|pristin botol 1.5l|pristin botol besar"",dus,12 botol,pristine"
"botol,1.5l,Vit Botol 1.5L,43000,""vit botol 1.5l|vit botol 1500ml|botol vit 1.5l|vt 1.5l|vit 1.5 lt|vit 1500ml|vit besar 1.5l|vit besarl"",dus,12 botol,vit"
"botol,1.5l,Le Minerale Botol 1.5L,64000,""le minerale botol 1.5l|le minerale botol 1500ml|botol le minerale 1.5l|lem 1.5l|lemi 1.5l|le minerale besar 1.5l|lmnrle 1.5l|leminerale 1500ml"",dus,12 botol,le minerale"
"botol,1.5l,Nestle Botol 1.5L,60000,""nestle botol 1.5l|nestle botol 1500ml|botol nestle 1.5l|nestl 1500ml|nestle besar 1.5l|nestle 1.5 lt|pure life 1.5l|pure life 1500ml|purelife 1.5l|purelife 1500ml|pure lipe 1.5l|pure lipe 1500ml|purelife botol 1.5l|pure life botol 1.5l"",dus,12 botol,nestle"

"botol,600ml,Aqua Botol 600ml,56000,""aqua botol 600ml|botol aqua 600ml|aq 600ml|akua 600ml|aqua 600 ml|aqua 600mil"",dus,24 botol,aqua"
"botol,600ml,Pristine Botol 600ml,88000,""pristine botol 600ml|botol pristine 600ml|prstin 600ml|pristine 600 ml|prstn 600ml|pristin 600ml|pristin botol 600ml"",dus,24 botol,pristine"
"botol,500ml,Vit Botol 500ml,42000,""vit botol 500ml|botol vit 500ml|vt 500ml|vit kecil 500|vit 500 ml|vit 550ml"",dus,24 botol,vit"
"botol,600ml,Nestle Botol 600ml,55000,""nestle botol 600ml|botol nestle 600ml|nes 600ml|nestle 600 ml|nestle kecil 600|nestle 600m|pure life 600ml|purelife 600ml|pure lipe 600ml|purelyf 600|purelife botol 600ml|pure life botol 600ml"",dus,24 botol,nestle"
"botol,600ml,Le Minerale Botol 600ml,56000,""le minerale botol 600ml|botol le minerale 600ml|lem 600ml|le minerale kecil 600|le minerale 600m"",dus,24 botol,le minerale"

"botol,330ml,Aqua Botol 330ml,46000,""aqua botol 330ml|aq 330ml|botol aqua 330ml|aqua 330 ml"",dus,24 botol,aqua"
